Id,Label,timeset,modularity_class,eigencentrality
506,,,17,0.108262
507,,,17,0
508,,,34,0.085573
509,,,17,0
510,,,17,0
511,,,17,0.789051
512,,,18,0.020617
513,,,266,0
514,,,365,0.022304
515,,,26,0.095701
516,,,6,0.064053
517,,,41,0
518,,,17,0
519,,,17,0
520,,,1,0.008389
521,,,27,0.005367
522,,,27,0.019221
523,,,27,0
524,,,6,0
525,,,6,0.011146
526,,,20,0.123633
527,,,27,0
528,,,4,0
529,,,27,0
530,,,41,0.03703
531,,,37,0
532,,,26,0
533,,,6,0
534,,,13,0.006675
535,,,30,0
536,,,30,0.005669
537,,,30,0
538,,,17,0.016378
539,,,1,0.013542
540,,,365,0.03212
541,,,365,0.092287
542,,,365,0
543,,,47,0.07102
544,,,8,0.019461
545,,,41,0
546,,,41,0.01712
547,,,47,0
548,,,47,0.032829
549,,,36,0.010916
550,,,19,0
551,,,44,0
552,,,37,0.101111
553,,,17,0.083262
554,,,17,0
555,,,6,0.146239
556,,,197,0.081558
557,,,40,0.00486
558,,,37,0.002202
559,,,30,0.055396
560,,,17,0.001806
561,,,17,0.516721
562,,,19,0.080534
563,,,26,0.014392
564,,,36,0.001977
565,,,30,0.049286
566,,,27,0
567,,,26,0.004193
568,,,44,0
569,,,15,0.053422
570,,,266,0.010124
571,,,266,0.049439
572,,,11,0.000821
573,,,266,0.006451
574,,,13,0
575,,,136,0.409856
576,,,11,0.042894
577,,,266,0.000821
578,,,266,0
579,,,18,0.008015
580,,,37,0.036311
581,,,4,0.004403
582,,,37,0
583,,,37,0
584,,,1,0.00836
585,,,6,0.058318
586,,,26,0.006931
587,,,16,0.130816
588,,,4,0.003474
589,,,81,0.011375
590,,,37,0
591,,,41,0.609752
592,,,197,0.008418
593,,,34,0.081415
594,,,186,0.130621
595,,,6,0.023605
596,,,36,0.058449
597,,,6,0
598,,,14,0.012123
599,,,31,0.048597
600,,,31,0.004107
601,,,8,0
602,,,8,0.042082
603,,,11,0.037619
604,,,40,0.053106
605,,,40,0
606,,,15,0.067518
607,,,7,0.02024
608,,,7,0
609,,,7,0
610,,,27,0.035896
611,,,17,0.041025
612,,,7,0
613,,,7,0.004777
614,,,7,0
615,,,266,0.055769
616,,,365,0.004014
617,,,30,0
618,,,8,0.009598
619,,,197,0
620,,,197,0.004457
621,,,197,0.024202
622,,,197,0
623,,,34,0.003285
624,,,41,0.224729
625,,,30,0
626,,,30,0.040453
627,,,15,0.024631
628,,,19,0
629,,,19,0.005487
630,,,19,0
631,,,10,0.010891
632,,,10,0.00186
633,,,7,0.042072
634,,,7,0
635,,,4,0.005349
636,,,26,0.095664
637,,,365,0.003517
638,,,7,0.011844
639,,,41,0.01883
640,,,7,0
641,,,7,0
642,,,34,0.001861
643,,,186,0
644,,,186,0.002464
645,,,186,0
646,,,17,0.070298
647,,,9,0.053626
648,,,15,0.050774
649,,,15,0
650,,,17,0
651,,,17,0.002999
652,,,17,0
653,,,17,0.02885
654,,,365,0.480792
655,,,47,0.003492
656,,,11,0.080273
657,,,19,0
658,,,6,0
659,,,68,0
660,,,31,0.212137
661,,,68,0.064009
662,,,136,0.000821
